,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
2868,0.518,0.377,0.233,0.237,0.502,0.333,0.654,0.316,0.586,0.312,0.613,0.533,0.241,0.507,0.235,0.178,0.285,0.138,0.518,0.338,0.233,0.237,0.502,0.333,0.654,0.316,0.586,0.312,0.613,0.533,0.241,0.507,0.235,0.178,0.285,0.138
2869,0.525,0.319,0.16,0.255,0.441,0.333,0.691,0.393,0.629,0.355,0.649,0.533,0.279,0.572,0.249,0.17,0.332,0.249,0.525,0.377,0.16,0.255,0.441,0.333,0.691,0.393,0.629,0.355,0.649,0.533,0.279,0.572,0.249,0.17,0.332,0.249
2870,0.479,0.244,0.086,0.22,0.399,0.36,0.724,0.442,0.603,0.485,0.642,0.511,0.317,0.572,0.217,0.144,0.285,0.249,0.479,0.319,0.086,0.22,0.399,0.36,0.724,0.442,0.603,0.485,0.642,0.511,0.317,0.572,0.217,0.144,0.285,0.249
2871,0.306,0.159,0.072,0.191,0.477,0.348,0.634,0.415,0.478,0.534,0.72,0.444,0.333,0.522,0.24,0.152,0.19,0.271,0.306,0.244,0.072,0.191,0.477,0.348,0.634,0.415,0.478,0.534,0.72,0.444,0.333,0.522,0.24,0.152,0.19,0.271
2872,0.148,0.102,0.043,0.151,0.369,0.218,0.419,0.328,0.357,0.543,0.753,0.378,0.327,0.464,0.138,0.106,0.237,0.249,0.148,0.159,0.043,0.151,0.369,0.218,0.419,0.328,0.357,0.543,0.753,0.378,0.327,0.464,0.138,0.106,0.237,0.249
2873,0.037,0.034,0.015,0.052,0.176,0.083,0.178,0.137,0.2,0.554,0.721,0.311,0.349,0.428,0.101,0.076,0.19,0.045,0.037,0.102,0.015,0.052,0.176,0.083,0.178,0.137,0.2,0.554,0.721,0.311,0.349,0.428,0.101,0.076,0.19,0.045
2874,0,0.002,0.001,0,0.024,0.009,0.026,0.019,0.037,0.531,0.683,0.289,0.419,0.391,0.074,0.045,0.19,0.08,0,0.034,0.001,0,0.024,0.009,0.026,0.019,0.037,0.531,0.683,0.289,0.419,0.391,0.074,0.045,0.19,0.08
2875,0,0,0,0,0,0,0,0,0,0.461,0.697,0.289,0.422,0.312,0.088,0.049,0.142,0.09,0,0.002,0,0,0,0,0,0,0,0.461,0.697,0.289,0.422,0.312,0.088,0.049,0.142,0.09
2876,0,0,0,0,0,0,0,0,0,0.463,0.707,0.289,0.425,0.217,0.101,0.061,0.142,0.095,0,0,0,0,0,0,0,0,0,0.463,0.707,0.289,0.425,0.217,0.101,0.061,0.142,0.095
2877,0,0,0,0,0,0,0,0,0,0.463,0.685,0.289,0.438,0.13,0.074,0.08,0.142,0.098,0,0,0,0,0,0,0,0,0,0.463,0.685,0.289,0.438,0.13,0.074,0.08,0.142,0.098
2878,0,0,0,0,0,0,0,0,0,0.467,0.693,0.289,0.479,0.094,0.037,0.091,0.19,0.111,0,0,0,0,0,0,0,0,0,0.467,0.693,0.289,0.479,0.094,0.037,0.091,0.19,0.111
2879,0,0,0,0,0,0,0,0,0,0.482,0.675,0.311,0.46,0.109,0.051,0.125,0.19,0.121,0,0,0,0,0,0,0,0,0,0.482,0.675,0.311,0.46,0.109,0.051,0.125,0.19,0.121
2880,0,0,0,0,0,0,0,0,0,0.482,0.682,0.289,0.456,0.145,0.032,0.193,0.237,0.153,0,0,0,0,0,0,0,0,0,0.482,0.682,0.289,0.456,0.145,0.032,0.193,0.237,0.153
2881,0,0,0,0,0,0,0,0,0,0.474,0.687,0.289,0.424,0.167,0.065,0.201,0.237,0.166,0,0,0,0,0,0,0,0,0,0.474,0.687,0.289,0.424,0.167,0.065,0.201,0.237,0.166
2882,0,0,0,0,0,0,0,0,0,0.45,0.636,0.289,0.386,0.145,0.12,0.25,0.284,0.216,0,0,0,0,0,0,0,0,0,0.45,0.636,0.289,0.386,0.145,0.12,0.25,0.284,0.216
