,TWN-PumpedHydro
694,3417.1505376344085
695,4083.2150537634407
696,1624.7365591397843
697,2012.8548387096769
698,2649.0161290322576
699,3547.827956989247
700,5077.559139784946
701,6114.715053763441
702,6599.435483870968
703,6692.553763440861
704,6365.822580645161
705,5720.908602150537
706,4825.268817204302
707,3897.97311827957
708,2954.2365591397847
709,2035.6505376344085
710,1180.6774193548388
711,457.1881720430108
712,0.0
713,16.822580645161224
714,493.26881720430106
715,1195.97311827957
716,1950.010752688172
717,2702.005376344086
718,3417.1505376344085
719,4083.2150537634407
720,1624.7365591397843
721,2012.8548387096769
722,2649.0161290322576
723,3547.827956989247
724,5077.559139784946
725,6114.715053763441
726,6599.435483870968
727,6692.553763440861
728,6365.822580645161
729,5720.908602150537
730,4825.268817204302
731,3897.97311827957
732,2954.2365591397847
733,2035.6505376344085
734,1180.6774193548388
735,457.1881720430108
736,0.0
737,16.822580645161224
738,493.26881720430106
739,1195.97311827957
740,1950.010752688172
741,2702.005376344086
742,3417.1505376344085
743,4083.2150537634407
744,1624.7365591397843
745,2012.8548387096769
746,2649.0161290322576
747,3547.827956989247
748,5077.559139784946
749,6114.715053763441
750,6599.435483870968
751,6692.553763440861
752,6365.822580645161
753,5720.908602150537
754,4825.268817204302
755,3897.97311827957
756,2954.2365591397847
757,2035.6505376344085
758,1180.6774193548388
759,457.1881720430108
760,0.0
761,16.822580645161224
762,493.26881720430106
763,1195.97311827957
764,1950.010752688172
765,2702.005376344086
766,3417.1505376344085
767,4083.2150537634407
768,1624.7365591397843
769,2012.8548387096769
770,2649.0161290322576
771,3547.827956989247
772,5077.559139784946
773,6114.715053763441
774,6599.435483870968
775,6692.553763440861
776,6365.822580645161
777,5720.908602150537
778,4825.268817204302
779,3897.97311827957
780,2954.2365591397847
781,2035.6505376344085
782,1180.6774193548388
783,457.1881720430108
784,0.0
785,16.822580645161224
786,493.26881720430106
787,1195.97311827957
788,1950.010752688172
789,2702.005376344086
790,3417.1505376344085
791,4083.2150537634407
792,1624.7365591397843
793,2012.8548387096769
794,2649.0161290322576
795,3547.827956989247
796,5077.559139784946
797,6114.715053763441
798,6599.435483870968
799,6692.553763440861
800,6365.822580645161
801,5720.908602150537
802,4825.268817204302
803,3897.97311827957
804,2954.2365591397847
805,2035.6505376344085
806,1180.6774193548388
807,457.1881720430108
808,0.0
809,16.822580645161224
810,493.26881720430106
811,1195.97311827957
812,1950.010752688172
813,2702.005376344086
814,3417.1505376344085
815,4083.2150537634407
816,1624.7365591397843
817,2012.8548387096769
818,2649.0161290322576
819,3547.827956989247
820,5077.559139784946
821,6114.715053763441
822,6599.435483870968
823,6692.553763440861
824,6365.822580645161
825,5720.908602150537
826,4825.268817204302
827,3897.97311827957
828,2954.2365591397847
829,2035.6505376344085
830,1180.6774193548388
831,457.1881720430108
832,0.0
833,16.822580645161224
834,493.26881720430106
835,1195.97311827957
836,1950.010752688172
837,2702.005376344086
838,3417.1505376344085
839,4083.2150537634407
840,1624.7365591397843
841,2012.8548387096769
842,2649.0161290322576
843,3547.827956989247
844,5077.559139784946
845,6114.715053763441
846,6599.435483870968
847,6692.553763440861
848,6365.822580645161
849,5720.908602150537
850,4825.268817204302
851,3897.97311827957
852,2954.2365591397847
853,2035.6505376344085
854,1180.6774193548388
855,457.1881720430108
856,0.0
857,16.822580645161224
858,493.26881720430106
859,1195.97311827957
